| Nº pess/|Período|data atual|TipTmp|TxtDescritTipTempos      |     Número|
|   306492| 202204|01/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
|   306492| 202204|01/04/2022|NDSR  |Número Dias s/ repouso   |      6,00-|
|   306492| 202204|01/04/2022|NUMK  |Numero Horas Tipo Proc/ K|      1,00 |
|   306492| 202204|01/04/2022|NUMS  |Numero Horas Tipo Proc/ S|      7,33 |
|   306492| 202204|01/04/2022|2841  |Codigos de Abono         |      7,33 |
|   306492| 202204|01/04/2022|3395  |Abono Alteração Escala   |      7,33 |
|   306492| 202204|01/04/2022|2960  |Saldo de horas           |      7,33 |
|   306492| 202204|01/04/2022|DSHT  |Horas trabalhadas/dia    |      7,33 |
|   306492| 202204|01/04/2022|0120  |Período variável Ausência|      7,33 |
|   306492| 202204|01/04/2022|0100  |Período variável         |      7,33 |
|   306492| 202204|01/04/2022|0020  |Ausência                 |      7,33 |
|   306492| 202204|01/04/2022|0003  |Horário individual       |      7,33 |
|   306492| 202204|01/04/2022|0500  |Intervalo                |      1,00 |
|   306492| 202204|01/04/2022|2825  |Hr Extra Dom/Fer 100% PP |     16,19-|
|   306492| 202204|01/04/2022|2908  |Adicional Noturno 25% PP |      0,18-|
|   306492| 202204|01/04/2022|2921  |Ad Nt 25% S HE 100% DF PP|      0,85-|
|   306492| 202204|01/04/2022|3002  |Ad N 25% S/ HE 60% PP    |      3,75-|
|   306492| 202204|01/04/2022|9400  |Bco Hrs Compensadas 16-31|      1,85-|
|   306492| 202204|01/04/2022|0002  |Tempo teórico            |      7,33 |
|   306492| 202204|01/04/2022|TF01  |Flag de ausência         |      1,00 |
|   306762| 202204|01/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
|   306762| 202204|01/04/2022|NUMA  |Numero Horas Tipo Proc/ A|      6,33 |
|   306762| 202204|01/04/2022|NUMK  |Numero Horas Tipo Proc/ K|      1,00 |
|   306762| 202204|01/04/2022|2841  |Codigos de Abono         |      6,33 |
|   306762| 202204|01/04/2022|3100  |Férias                   |      6,33 |
|   306762| 202204|01/04/2022|0500  |Intervalo                |      1,00 |
|   306762| 202204|01/04/2022|0002  |Tempo teórico            |      6,33 |
|   306762| 202204|01/04/2022|0005  |Saldo horário flexível   |      6,33-|
|   306762| 202204|01/04/2022|TF01  |Flag de ausência         |      1,00 |
|   307458| 202204|01/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
|   307458| 202204|01/04/2022|PAND  |Par inicial  teórico dia |      5,00 |
|   307458| 202204|01/04/2022|2478  |Aux/Cont Hrs/ Inic/Teor  |      5,00 |
|   307458| 202204|01/04/2022|2481  |Aux/ Hrs ajuste tab TIP  |      2,00 |
|   307458| 202204|01/04/2022|3967  |Horas Teoricas           |    220,00 |
|   307458| 202204|01/04/2022|PANZ  |Aux/ calc/ Par final DSR |     24,00-|
|   307458| 202204|01/04/2022|PANT  |Par final anterior a DSR |     13,53 |
|   307458| 202204|01/04/2022|NDSR  |Número Dias s/ repouso   |      1,00 |
|   307458| 202204|01/04/2022|NUMB  |Numero Horas Tipo Proc/ B|      0,68 |
|   307458| 202204|01/04/2022|NUMK  |Numero Horas Tipo Proc/ K|      1,00 |
|   307458| 202204|01/04/2022|NUMS  |Numero Horas Tipo Proc/ S|      7,33 |
|   307458| 202204|01/04/2022|JREA  |Jornada Realizada        |      8,02 |
|   307458| 202204|01/04/2022|JRES  |Jornada Realizada Sadia  |      8,02 |
|   307458| 202204|01/04/2022|2837  |Horas Normais            |      7,33 |
|   307458| 202204|01/04/2022|DSHT  |Horas trabalhadas/dia    |      7,33 |
|   307458| 202204|01/04/2022|BRTD  |Horas trabalho turno dia |      7,33 |
|   307458| 202204|01/04/2022|BRD1  |Hrs/extra turno dia ctg/1|      0,20 |
|   307458| 202204|01/04/2022|BRT1  |Horas extra categoria 1  |     60,00 |
|   307458| 202204|01/04/2022|BRN2  |HrsExtra turno noite Ctg2|      0,48 |
|   307458| 202204|01/04/2022|BRT2  |Horas extra categoria 2  |     60,00 |
|   307458| 202204|01/04/2022|2502  |Banco de Horas 60%       |      0,68 |
|   307458| 202204|01/04/2022|2700  |Saldo Semanal BH         |      0,68 |
|   307458| 202204|01/04/2022|2701  |Saldo Mensal BH          |      0,68 |
|   307458| 202204|01/04/2022|E502  |Bco Hrs 60%              |      0,68 |
|   307458| 202204|01/04/2022|8704  |Hrs Extras 60%           |      0,68 |
|   307458| 202204|01/04/2022|0310  |Hrs/extrs/não autor/pres/|      0,68 |
|   307458| 202204|01/04/2022|0110  |Período variável Presença|      8,02 |
